Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
AAL1798,MD82/Q ,KOKC,Will Rogers World,"Oklahoma City, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:27,7/11/13 1:01,0:34
AAL1228,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMIA,Miami Intl,"Miami, FL",7/11/13 0:27,7/11/13 2:53,2:26
NKS108,A319/Q ,KSAN,San Diego Intl,"San Diego, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:27,7/11/13 3:06,2:39
AAL2462,B738/Q ,KLAX,Los Angeles Intl,"Los Angeles, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:27,7/11/13 3:09,2:42
CPZ5801,E170/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLGA,LaGuardia,"New York, NY",7/11/13 0:28,7/11/13 3:43,3:15
EGF3303,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KGJT,Grand Junction Regional,"Grand Junction, CO",7/11/13 0:28,7/11/13 2:19,1:51
EGF2863,E135/Q ,KCRP,Corpus Christi Intl,"Corpus Christi, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:29,7/11/13 1:31,1:02
EGF2786,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJAN,Jackson-Evers Intl,"Jackson, MS",7/11/13 0:30,7/11/13 1:29,0:59
AAL2477,B752/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLAX,Los Angeles Intl,"Los Angeles, CA",7/11/13 0:30,7/11/13 2:59,2:29
AAL1002,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCMH,Port Columbus Intl,"Columbus, OH",7/11/13 0:31,7/11/13 2:30,1:59
EGF3360,E145/Q ,KOKC,Will Rogers World,"Oklahoma City, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:31,7/11/13 1:04,0:33
EJA716,GALX/Q ,KTEB,Teterboro,"Teterboro, NJ",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:32,7/11/13 3:38,3:06
AAL1403,MD82/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",7/11/13 0:32,7/11/13 2:22,1:50
AAL1601,B738 ,CYYZ,Toronto Pearson Int'l,"Toronto, Ontario",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:32,7/11/13 3:21,2:49
EGF2735,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",MMHO,General Ignacio Pesqueira Garcia Int'l,"Hermosillo, Sonora",7/11/13 0:33,7/11/13 2:31,1:58
AAL1892,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSTL,Lambert-St Louis Intl,"St Louis, MO",7/11/13 0:33,7/11/13 1:52,1:19
AAL828,MD80/Q ,KDEN,Denver Intl,"Denver, CO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:34,7/11/13 2:03,1:29
AAL650,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPBI,Palm Beach Intl,"West Palm Beach, FL",7/11/13 0:34,7/11/13 3:01,2:27
AAL1809,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KAUS,Austin-Bergstrom Intl,"Austin, TX",7/11/13 0:35,7/11/13 1:05,0:30
AAL504,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMSY,New Orleans Intl,"New Orleans, LA",7/11/13 0:36,7/11/13 1:40,1:04
EGF3432,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSPI,Abraham Lincoln Capital,"Springfield, IL",7/11/13 0:37,7/11/13 2:04,1:27
NKS207,A319/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLAS,McCarran Intl,"Las Vegas, NV",7/11/13 0:37,7/11/13 2:57,2:20
EGF3056,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCHS,Charleston Afb/Intl,"Charleston, SC",7/11/13 0:38,7/11/13 2:57,2:19
AAL2370,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KORD,Chicago O'Hare Intl,"Chicago, IL",7/11/13 0:38,7/11/13 2:23,1:45
MRA666,C208/A ,KABI,Abilene Rgnl,"Abilene, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:38,7/11/13 1:38,1:00
EGF2964,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KVPS,Eglin Afb,"Valparaiso, FL",7/11/13 0:39,7/11/13 2:15,1:36
AAL1650,B738/Q ,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:39,7/11/13 3:53,3:14
MRA801,C208/A ,KOKC,Will Rogers World,"Oklahoma City, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:39,7/11/13 1:41,1:02
NKS458,A319/Q ,KPDX,Portland Intl,"Portland, OR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:39,7/11/13 3:55,3:16
AAL1803,MD83/Q ,KLIT,Bill And Hillary Clinton National/Adams Field,"Little Rock, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:40,7/11/13 1:26,0:46
ASA667,B739/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSEA,Seattle-Tacoma Intl,"Seattle, WA",7/11/13 0:40,7/11/13 4:16,3:36
AAL1355,B738/Q ,KIAD,Washington Dulles Intl,"Washington, DC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:40,7/11/13 3:12,2:32
AAL2130,MD80/Q ,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:41,7/11/13 1:59,1:18
